food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
ds1__modificate__root__001255.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001258.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001260.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001262.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001268.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001183.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001185.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001190.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001201.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001217.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001222.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001225.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001246.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001546.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001563.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001564.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001573.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001575.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001576.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001588.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001590.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001501.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001503.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001509.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001511.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001525.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001529.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001534.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001541.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001423.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001432.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001433.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001435.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001471.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001479.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001481.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001490.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001368.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001373.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001377.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001389.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001390.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001398.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001410.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001419.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001792.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001805.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001815.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001837.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001843.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001845.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001857.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001858.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001719.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001724.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001725.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001731.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001745.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001753.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001768.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001791.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001665.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001674.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001675.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001676.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001680.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001706.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001710.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001711.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001592.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001594.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001598.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001606.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001618.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001622.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001644.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001646.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__002007.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__002016.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__002020.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__002023.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__002032.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__002034.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__002040.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__002042.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
